VALUE,CLASSNAMES,R,G,B,RED,GREEN,BLUE
121,Tree Height = 21 meters,101,176,67,0.396078,0.690196,0.262745
122,Tree Height = 22 meters,99,173,64,0.388235,0.678431,0.250980
123,Tree Height = 23 meters,93,168,61,0.364706,0.658824,0.239216
124,Tree Height = 24 meters,87,166,56,0.341176,0.650980,0.219608
125,Tree Height = 25 meters,84,161,53,0.329412,0.631373,0.207843
126,Tree Height = 26 meters,79,158,51,0.309804,0.619608,0.200000
127,Tree Height = 27 meters,76,153,47,0.298039,0.600000,0.184314
128,Tree Height = 28 meters,71,150,45,0.278431,0.588235,0.176471
129,Tree Height = 29 meters,68,145,42,0.266667,0.568627,0.164706
130,Tree Height = 30 meters,64,143,40,0.250980,0.560784,0.156863
131,Tree Height = 31 meters,61,138,37,0.239216,0.541176,0.145098
132,Tree Height = 32 meters,56,135,34,0.219608,0.529412,0.133333
133,Tree Height = 33 meters,51,130,31,0.200000,0.509804,0.121569
134,Tree Height = 34 meters,49,128,29,0.192157,0.501961,0.113725
135,Tree Height = 35 meters,44,122,27,0.172549,0.478431,0.105882
136,Tree Height = 36 meters,43,120,25,0.168627,0.470588,0.098039
137,Tree Height = 37 meters,38,115,23,0.149020,0.450980,0.090196
138,Tree Height = 38 meters,36,112,21,0.141176,0.439216,0.082353
139,Tree Height = 39 meters,32,107,18,0.125490,0.419608,0.070588
140,Tree Height = 40 meters,28,105,17,0.109804,0.411765,0.066667
141,Tree Height = 41 meters,26,99,15,0.101961,0.388235,0.058824
142,Tree Height = 42 meters,23,97,14,0.090196,0.380392,0.054902
143,Tree Height = 43 meters,21,92,12,0.082353,0.360784,0.047059
144,Tree Height = 44 meters,19,89,11,0.074510,0.349020,0.043137
145,Tree Height = 45 meters,17,84,9,0.066667,0.329412,0.035294
146,Tree Height = 46 meters,14,82,8,0.054902,0.321569,0.031373
147,Tree Height = 47 meters,11,77,6,0.043137,0.301961,0.023529
148,Tree Height = 48 meters,10,74,5,0.039216,0.290196,0.019608
149,Tree Height = 49 meters,7,69,4,0.027451,0.270588,0.015686
150,Tree Height = 50 meters,6,66,3,0.023529,0.258824,0.011765
151,Tree Height = 51 meters,4,61,2,0.015686,0.239216,0.007843
152,Tree Height = 52 meters,4,59,2,0.015686,0.231373,0.007843
153,Tree Height = 53 meters,2,54,1,0.007843,0.211765,0.003922
154,Tree Height = 54 meters,0,51,0,0.000000,0.200000,0.000000
155,Tree Height = 55 meters,0,51,0,0.000000,0.200000,0.000000
156,Tree Height = 56 meters,0,51,0,0.000000,0.200000,0.000000
157,Tree Height = 57 meters,0,51,0,0.000000,0.200000,0.000000
158,Tree Height = 58 meters,0,51,0,0.000000,0.200000,0.000000
159,Tree Height = 59 meters,0,51,0,0.000000,0.200000,0.000000
160,Tree Height = 60 meters,0,51,0,0.000000,0.200000,0.000000
161,Tree Height = 61 meters,0,51,0,0.000000,0.200000,0.000000
162,Tree Height = 62 meters,0,51,0,0.000000,0.200000,0.000000
163,Tree Height = 63 meters,0,51,0,0.000000,0.200000,0.000000
164,Tree Height = 64 meters,0,51,0,0.000000,0.200000,0.000000
165,Tree Height = 65 meters,0,51,0,0.000000,0.200000,0.000000
166,Tree Height = 66 meters,0,51,0,0.000000,0.200000,0.000000
167,Tree Height = 67 meters,0,51,0,0.000000,0.200000,0.000000
168,Tree Height = 68 meters,0,51,0,0.000000,0.200000,0.000000
169,Tree Height = 69 meters,0,51,0,0.000000,0.200000,0.000000
170,Tree Height = 70 meters,0,51,0,0.000000,0.200000,0.000000
171,Tree Height = 71 meters,0,51,0,0.000000,0.200000,0.000000
172,Tree Height = 72 meters,0,51,0,0.000000,0.200000,0.000000
173,Tree Height = 73 meters,0,51,0,0.000000,0.200000,0.000000
174,Tree Height = 74 meters,0,51,0,0.000000,0.200000,0.000000
175,Tree Height = 75 meters,0,51,0,0.000000,0.200000,0.000000
176,Tree Height = 76 meters,0,51,0,0.000000,0.200000,0.000000
177,Tree Height = 77 meters,0,51,0,0.000000,0.200000,0.000000
178,Tree Height = 78 meters,0,51,0,0.000000,0.200000,0.000000
179,Tree Height = 79 meters,0,51,0,0.000000,0.200000,0.000000
180,Tree Height = 80 meters,0,51,0,0.000000,0.200000,0.000000
181,Tree Height = 81 meters,0,51,0,0.000000,0.200000,0.000000
182,Tree Height = 82 meters,0,51,0,0.000000,0.200000,0.000000
183,Tree Height = 83 meters,0,51,0,0.000000,0.200000,0.000000
184,Tree Height = 84 meters,0,51,0,0.000000,0.200000,0.000000
185,Tree Height = 85 meters,0,51,0,0.000000,0.200000,0.000000
186,Tree Height = 86 meters,0,51,0,0.000000,0.200000,0.000000
187,Tree Height = 87 meters,0,51,0,0.000000,0.200000,0.000000
188,Tree Height = 88 meters,0,51,0,0.000000,0.200000,0.000000
189,Tree Height = 89 meters,0,51,0,0.000000,0.200000,0.000000
190,Tree Height = 90 meters,0,51,0,0.000000,0.200000,0.000000
191,Tree Height = 91 meters,0,51,0,0.000000,0.200000,0.000000
192,Tree Height = 92 meters,0,51,0,0.000000,0.200000,0.000000
193,Tree Height = 93 meters,0,51,0,0.000000,0.200000,0.000000
194,Tree Height = 94 meters,0,51,0,0.000000,0.200000,0.000000
195,Tree Height = 95 meters,0,51,0,0.000000,0.200000,0.000000
196,Tree Height = 96 meters,0,51,0,0.000000,0.200000,0.000000
197,Tree Height = 97 meters,0,51,0,0.000000,0.200000,0.000000
198,Tree Height = 98 meters,0,51,0,0.000000,0.200000,0.000000
199,Tree Height >= 99 meters,0,51,0,0.000000,0.200000,0.000000
201,Shrub Height = 0.1 meter,212,178,125,0.831373,0.698039,0.490196
202,Shrub Height = 0.2 meter,212,174,121,0.831373,0.682353,0.474510
203,Shrub Height = 0.3 meter,209,166,117,0.819608,0.650980,0.458824
204,Shrub Height = 0.4 meter,209,161,113,0.819608,0.631373,0.443137
205,Shrub Height = 0.5 meter,207,155,109,0.811765,0.607843,0.427451
206,Shrub Height = 0.6 meter,207,149,105,0.811765,0.584314,0.411765
207,Shrub Height = 0.7 meter,204,145,102,0.800000,0.568627,0.400000
208,Shrub Height = 0.8 meter,201,137,97,0.788235,0.537255,0.380392
209,Shrub Height = 0.9 meter,201,134,95,0.788235,0.525490,0.372549
210,Shrub Height = 1 meter,199,126,90,0.780392,0.494118,0.352941
211,Shrub Height = 1.1 meters,196,121,86,0.768627,0.474510,0.337255
212,Shrub Height = 1.2 meters,196,115,82,0.768627,0.450980,0.321569
213,Shrub Height = 1.3 meters,194,110,79,0.760784,0.431373,0.309804
214,Shrub Height = 1.4 meters,191,105,77,0.749020,0.411765,0.301961
215,Shrub Height = 1.5 meters,191,100,73,0.749020,0.392157,0.286275
216,Shrub Height = 1.6 meters,189,94,70,0.741176,0.368627,0.274510
217,Shrub Height = 1.7 meters,186,89,67,0.729412,0.349020,0.262745
218,Shrub Height = 1.8 meters,184,83,62,0.721569,0.325490,0.243137
219,Shrub Height = 1.9 meters,184,79,61,0.721569,0.309804,0.239216
220,Shrub Height = 2.0 meters,181,72,58,0.709804,0.282353,0.227451
221,Shrub Height = 2.1 meters,179,68,55,0.701961,0.266667,0.215686
222,Shrub Height = 2.2 meters,176,61,51,0.690196,0.239216,0.200000
223,Shrub Height = 2.3 meters,173,57,49,0.678431,0.223529,0.192157
224,Shrub Height = 2.4 meters,173,51,47,0.678431,0.200000,0.184314
225,Shrub Height = 2.5 meters,171,47,44,0.670588,0.184314,0.172549
226,Shrub Height = 2.6 meters,168,39,41,0.658824,0.152941,0.160784
227,Shrub Height = 2.7 meters,166,33,40,0.650980,0.129412,0.156863
228,Shrub Height = 2.8 meters,163,26,38,0.639216,0.101961,0.149020
229,Shrub Height = 2.9 meters,161,18,34,0.631373,0.070588,0.133333
230,Shrub Height >= 3.0 meters,158,0,32,0.619608,0.000000,0.125490
301,Herb Height = 0.1 meter,255,204,102,1.000000,0.800000,0.400000
302,Herb Height = 0.2 meter,255,186,89,1.000000,0.729412,0.349020
303,Herb Height = 0.3 meter,255,169,77,1.000000,0.662745,0.301961
304,Herb Height = 0.4 meter,255,150,64,1.000000,0.588235,0.250980
305,Herb Height = 0.5 meter,255,133,51,1.000000,0.521569,0.200000
306,Herb Height = 0.6 meter,255,112,41,1.000000,0.439216,0.160784
307,Herb Height = 0.7 meter,255,92,28,1.000000,0.360784,0.109804
308,Herb Height = 0.8 meter,255,73,18,1.000000,0.286275,0.070588
309,Herb Height = 0.9 meter,255,51,0,1.000000,0.200000,0.000000
310,Herb Height >= 1 meter,255,51,0,1.000000,0.200000,0.000000
